time,alpha,beta,gamma,delta
16.130,0.3770,0.4122,0.0072,0.4847
16.140,0.3646,0.3649,-0.0223,0.4543
16.150,0.3821,0.3752,-0.0409,0.4091
16.160,0.3453,0.3974,-0.0497,0.3394
16.170,0.4184,0.4101,-0.0763,0.3198
16.180,0.3715,0.4861,-0.0973,0.3373
16.190,0.4237,0.5064,-0.1024,0.2995
16.200,0.4284,0.6365,-0.0830,0.2422
16.210,0.4252,0.7069,-0.1089,0.2231
16.220,0.3950,0.6798,-0.1330,0.2186
16.230,0.4324,0.7383,-0.1741,0.2216
16.240,0.4489,0.7802,-0.1995,0.2381
16.250,0.4893,0.7946,-0.2170,0.2178
16.260,0.4563,0.7624,-0.1604,0.2238
16.270,0.5216,0.7514,-0.1872,0.1931
16.280,0.5214,0.6580,-0.1795,0.1995
16.290,0.5755,0.5876,-0.2102,0.2178
16.300,0.5790,0.5172,-0.2084,0.2714
16.310,0.5869,0.4035,-0.2276,0.3021
16.320,0.6478,0.3602,-0.1962,0.3200
16.330,0.6716,0.2677,-0.2152,0.3062
16.340,0.7122,0.2325,-0.2011,0.3730
16.350,0.7364,0.2296,-0.1478,0.3665
16.360,0.8206,0.1850,-0.2281,0.4198
16.370,0.8126,0.2140,-0.2087,0.4639
16.380,0.8057,0.2416,-0.1655,0.5071
16.390,0.8267,0.2530,-0.2299,0.5474
16.400,0.8636,0.2891,-0.1859,0.6063
16.410,0.8737,0.3394,-0.1569,0.6205
16.420,0.9009,0.3328,-0.1578,0.6037
16.430,0.8692,0.4166,-0.1721,0.6564
16.440,0.8748,0.3938,-0.1213,0.6936
16.450,0.9050,0.3563,-0.0999,0.7589
16.460,0.8425,0.2885,-0.0990,0.7493
16.470,0.8507,0.2657,-0.0981,0.7912
16.480,0.7750,0.2116,-0.0768,0.7673
16.490,0.7988,0.1251,-0.0906,0.7772
16.500,0.8228,-0.0246,-0.0462,0.7817
16.510,0.7894,-0.0928,-0.0255,0.7920
16.520,0.7556,-0.1276,-0.0446,0.7485
16.530,0.7669,-0.2479,-0.0250,0.7394
16.540,0.7555,-0.2858,-0.0093,0.6926
16.550,0.7391,-0.3361,0.0163,0.6894
16.560,0.6539,-0.3867,0.0461,0.6714
16.570,0.7168,-0.3422,0.0434,0.6328
16.580,0.7009,-0.3520,0.1229,0.6203
16.590,0.6417,-0.3572,0.0697,0.6117
16.600,0.6608,-0.3316,0.0857,0.5393
16.610,0.6925,-0.2374,0.1085,0.5120
16.620,0.7113,-0.1946,0.1094,0.4794
16.630,0.6931,-0.1496,0.1419,0.4188
16.640,0.6828,-0.2011,0.1503,0.3688
16.650,0.6824,-0.2336,0.1745,0.3614
16.660,0.6555,-0.2211,0.1559,0.3356
16.670,0.7150,-0.2634,0.1873,0.2504
16.680,0.6588,-0.3462,0.1575,0.2413
16.690,0.6745,-0.4074,0.1997,0.1812
16.700,0.6867,-0.4935,0.2124,0.1841
16.710,0.6911,-0.5764,0.1944,0.1452
16.720,0.6727,-0.6492,0.1856,0.1338
16.730,0.6528,-0.6907,0.1927,0.1228
16.740,0.7114,-0.7167,0.2180,0.0901
16.750,0.6639,-0.7620,0.2097,0.1073
16.760,0.6623,-0.7540,0.2272,0.1196
16.770,0.6081,-0.7527,0.1998,0.1147
16.780,0.5845,-0.7083,0.1896,0.1035
16.790,0.5715,-0.6388,0.2268,0.1468
16.800,0.5212,-0.5728,0.1567,0.1509
16.810,0.4811,-0.5490,0.2178,0.1541
16.820,0.4585,-0.4705,0.1696,0.1587
16.830,0.4201,-0.4434,0.1590,0.2118
16.840,0.3820,-0.3970,0.1208,0.2454
16.850,0.3676,-0.4291,0.1218,0.2580
16.860,0.2527,-0.4313,0.1096,0.3269
16.870,0.2466,-0.4343,0.1131,0.3467
16.880,0.2272,-0.4502,0.1563,0.3755
16.890,0.1920,-0.5070,0.0727,0.3798
16.900,0.1263,-0.5354,0.0791,0.4224
16.910,0.1170,-0.5739,0.0573,0.4661
16.920,0.1049,-0.6265,0.0315,0.4445
16.930,0.0386,-0.6578,0.0201,0.5127
16.940,0.0251,-0.6922,0.0188,0.5430
16.950,0.0227,-0.6908,0.0396,0.5564
16.960,0.0296,-0.6652,-0.0298,0.5712
16.970,-0.0013,-0.5876,-0.0525,0.5730
16.980,-0.0025,-0.5567,-0.0760,0.5969
16.990,-0.0142,-0.4487,-0.0621,0.6032
17.000,0.0162,-0.3725,-0.0966,0.5978
17.010,0.0107,-0.2800,-0.0889,0.5825
17.020,-0.0165,-0.1792,-0.1091,0.5863
17.030,-0.0134,-0.0785,-0.1284,0.5804
17.040,-0.0158,-0.0906,-0.1148,0.5483
17.050,-0.0564,-0.0780,-0.1227,0.4847
17.060,-0.0629,-0.0459,-0.1365,0.4446
17.070,-0.0894,-0.0214,-0.1584,0.4188
17.080,-0.0900,-0.0156,-0.1744,0.4069
17.090,-0.1790,-0.0195,-0.1797,0.3870
17.100,-0.1484,-0.0825,-0.1684,0.3208
17.110,-0.1630,-0.0840,-0.1841,0.2884
17.120,-0.1979,-0.1329,-0.2005,0.2418
17.130,-0.2515,-0.1400,-0.2069,0.2212
17.140,-0.2532,-0.1416,-0.2007,0.1737
17.150,-0.3411,-0.1556,-0.2161,0.0928
17.160,-0.3536,-0.1031,-0.2384,0.0897
17.170,-0.4063,-0.0295,-0.2274,0.0184
17.180,-0.4183,0.0259,-0.1896,0.0069
17.190,-0.5200,0.0932,-0.1857,-0.0350
17.200,-0.5347,0.2338,-0.2240,-0.0598
17.210,-0.5398,0.3195,-0.1918,-0.0753
17.220,-0.5819,0.3682,-0.2096,-0.0893
17.230,-0.6210,0.4930,-0.1856,-0.1042
17.240,-0.6293,0.5208,-0.1639,-0.1561
17.250,-0.6715,0.5359,-0.1548,-0.1664
17.260,-0.6765,0.5958,-0.1628,-0.1385
17.270,-0.7309,0.5651,-0.1291,-0.1663
17.280,-0.6898,0.5351,-0.0865,-0.1402
17.290,-0.6971,0.4956,-0.1328,-0.0804
17.300,-0.7023,0.4630,-0.0957,-0.1477
17.310,-0.7314,0.3805,-0.0575,-0.0904
17.320,-0.7070,0.3474,-0.0866,-0.0812
17.330,-0.7195,0.3657,-0.0717,-0.0604
17.340,-0.6905,0.2913,-0.0248,-0.0271
17.350,-0.7262,0.3314,-0.0328,-0.0197
17.360,-0.6687,0.3856,-0.0042,0.0031
17.370,-0.6840,0.3615,0.0080,0.0425
17.380,-0.6613,0.4711,0.0365,0.0981
17.390,-0.6702,0.4867,0.0775,0.1693
17.400,-0.6676,0.5963,0.0256,0.1476
17.410,-0.6685,0.6431,0.0981,0.1904
17.420,-0.6875,0.7063,0.0819,0.1791
17.430,-0.6742,0.7602,0.1086,0.2423
17.440,-0.7084,0.7768,0.1314,0.2649
17.450,-0.6973,0.8112,0.1143,0.2522
17.460,-0.6893,0.7834,0.1537,0.2862
17.470,-0.7207,0.7378,0.1127,0.2922
17.480,-0.7713,0.7189,0.1561,0.2722
17.490,-0.7957,0.6152,0.1437,0.3021
17.500,-0.8124,0.5965,0.1755,0.2830
17.510,-0.7926,0.5200,0.1786,0.2841
17.520,-0.7965,0.4509,0.1597,0.2812
17.530,-0.8667,0.3962,0.1662,0.2474
17.540,-0.8745,0.3456,0.1702,0.2379
17.550,-0.9141,0.3281,0.1408,0.2148
17.560,-0.8713,0.2945,0.2188,0.2036
17.570,-0.8561,0.3379,0.2044,0.1397
17.580,-0.8694,0.3626,0.1968,0.0625
17.590,-0.9010,0.4123,0.1803,0.0591
17.600,-0.8371,0.4348,0.2057,0.0329
17.610,-0.8828,0.5008,0.1836,0.0091
17.620,-0.8180,0.4783,0.1814,-0.0596
17.630,-0.7649,0.4833,0.1892,-0.0640
17.640,-0.7822,0.5132,0.1513,-0.1108
17.650,-0.7664,0.5094,0.1279,-0.2036
17.660,-0.7091,0.4378,0.1537,-0.2544
17.670,-0.6805,0.3808,0.1283,-0.2614
17.680,-0.6887,0.3449,0.1230,-0.2714
17.690,-0.6296,0.2305,0.1305,-0.3170
17.700,-0.6371,0.1446,0.1418,-0.3878
17.710,-0.5836,0.0345,0.0974,-0.4184
17.720,-0.5230,-0.0491,0.0819,-0.4193
17.730,-0.5193,-0.0979,0.0587,-0.4509
17.740,-0.4604,-0.1431,0.0726,-0.4251
17.750,-0.4576,-0.1976,0.0615,-0.4594
17.760,-0.4145,-0.2077,0.0364,-0.4268
17.770,-0.4196,-0.2276,0.0303,-0.4826
17.780,-0.4305,-0.1958,0.0088,-0.4546
17.790,-0.4365,-0.1653,0.0023,-0.4546
17.800,-0.4119,-0.1311,-0.0137,-0.4197
17.810,-0.3976,-0.0962,-0.0237,-0.3994
17.820,-0.4140,-0.0745,-0.0659,-0.3986
17.830,-0.3941,-0.0640,-0.0801,-0.3510
17.840,-0.4131,-0.0552,-0.1069,-0.3085
17.850,-0.3843,-0.0723,-0.0931,-0.3322
17.860,-0.4222,-0.1162,-0.1135,-0.2682
17.870,-0.3607,-0.1632,-0.1374,-0.2303
17.880,-0.3837,-0.2324,-0.1176,-0.2213
17.890,-0.3294,-0.3267,-0.1396,-0.1537
17.900,-0.3386,-0.4211,-0.1569,-0.1435
17.910,-0.3313,-0.4982,-0.1400,-0.1225
17.920,-0.2640,-0.5677,-0.1874,-0.0960
17.930,-0.2527,-0.6399,-0.1517,-0.0659
17.940,-0.2325,-0.6896,-0.1795,-0.0440
17.950,-0.1851,-0.7113,-0.2165,-0.0473
17.960,-0.1823,-0.6954,-0.2071,-0.0299
17.970,-0.1350,-0.6946,-0.1939,-0.0252
17.980,-0.0933,-0.6442,-0.1862,0.0146
17.990,-0.0591,-0.6249,-0.2197,0.0202
18.000,0.0169,-0.5726,-0.2020,-0.0106
18.010,0.0415,-0.4818,-0.2073,0.0031
18.020,0.1052,-0.4689,-0.2165,-0.0066
18.030,0.1594,-0.4257,-0.1875,-0.0310
18.040,0.1261,-0.3986,-0.1916,-0.0692
18.050,0.2307,-0.4173,-0.1743,-0.1008
18.060,0.2471,-0.4377,-0.1651,-0.1025
18.070,0.2861,-0.4640,-0.1706,-0.1535
18.080,0.3132,-0.5154,-0.1611,-0.1625
18.090,0.3259,-0.5643,-0.1215,-0.2088
18.100,0.3623,-0.5994,-0.1328,-0.2456
18.110,0.3499,-0.6025,-0.1279,-0.2838
18.120,0.3587,-0.7062,-0.1137,-0.3468
18.130,0.3625,-0.7296,-0.1068,-0.3321
18.140,0.3851,-0.7616,-0.0732,-0.3814
18.150,0.3620,-0.7219,-0.0934,-0.4670
18.160,0.3701,-0.7329,-0.0862,-0.5086
18.170,0.3942,-0.6836,-0.0393,-0.5284
18.180,0.4022,-0.5947,-0.0267,-0.5442
18.190,0.4097,-0.5606,-0.0427,-0.6558
18.200,0.4028,-0.4908,-0.0015,-0.6023
18.210,0.3722,-0.3729,-0.0168,-0.6892
18.220,0.4703,-0.2949,-0.0315,-0.6452
18.230,0.4315,-0.2142,0.0237,-0.6836
18.240,0.4518,-0.2344,0.0589,-0.6825
18.250,0.4466,-0.1490,0.0832,-0.7041
18.260,0.5076,-0.1319,0.1156,-0.7006
18.270,0.5279,-0.1506,0.1097,-0.6955
18.280,0.5408,-0.1509,0.1020,-0.7006
18.290,0.5232,-0.1900,0.0966,-0.6971
18.300,0.5808,-0.2156,0.1424,-0.6556
18.310,0.6155,-0.2568,0.1233,-0.6134
18.320,0.6830,-0.3015,0.1257,-0.6432
18.330,0.6638,-0.3233,0.1651,-0.5891
18.340,0.7305,-0.3000,0.1709,-0.5688
18.350,0.7749,-0.2514,0.1575,-0.5248
18.360,0.7669,-0.2491,0.1677,-0.5204
18.370,0.7925,-0.1665,0.2111,-0.4440
18.380,0.8237,-0.0841,0.1856,-0.4305
18.390,0.8138,-0.0013,0.2100,-0.4125
18.400,0.8308,0.1066,0.1957,-0.3812
18.410,0.8613,0.1700,0.2130,-0.3111
18.420,0.9068,0.2584,0.1999,-0.2724
18.430,0.8676,0.3057,0.1608,-0.2536
18.440,0.8623,0.3798,0.1882,-0.2506
18.450,0.8630,0.4328,0.2146,-0.2306
18.460,0.8465,0.4697,0.1790,-0.2154
18.470,0.8434,0.4471,0.1695,-0.1886
18.480,0.8094,0.3968,0.1866,-0.1725
18.490,0.8385,0.3485,0.1448,-0.1697
18.500,0.8134,0.3874,0.1517,-0.1934
18.510,0.7657,0.2814,0.1650,-0.1829
18.520,0.7488,0.2986,0.1547,-0.1951
18.530,0.7325,0.2595,0.0828,-0.1921
18.540,0.7388,0.2502,0.1192,-0.2195
18.550,0.7127,0.2846,0.0949,-0.2091
18.560,0.7125,0.2803,0.0790,-0.2807
18.570,0.7082,0.3873,0.0614,-0.2901
18.580,0.6848,0.3944,0.0496,-0.3152
18.590,0.6398,0.4461,0.0437,-0.3609
18.600,0.6697,0.5509,0.0488,-0.4195
18.610,0.6515,0.6351,0.0124,-0.4323
18.620,0.6910,0.6438,0.0261,-0.4705
18.630,0.6450,0.7587,0.0179,-0.4830
18.640,0.6707,0.7851,-0.0215,-0.5788
18.650,0.7332,0.7679,-0.0049,-0.5894
18.660,0.6938,0.7782,-0.0319,-0.5887
18.670,0.6985,0.7461,-0.0872,-0.6448
18.680,0.6558,0.6846,-0.0860,-0.6831
18.690,0.6946,0.6532,-0.1331,-0.7251
18.700,0.7029,0.6051,-0.0990,-0.7807
18.710,0.7363,0.4930,-0.1114,-0.7713
18.720,0.7205,0.4868,-0.1360,-0.7848
18.730,0.6598,0.4245,-0.1566,-0.8093
18.740,0.6591,0.3914,-0.1594,-0.7802
18.750,0.6548,0.3434,-0.1748,-0.7995
18.760,0.6092,0.3996,-0.1709,-0.8003
18.770,0.6246,0.4039,-0.1593,-0.8056
18.780,0.5799,0.4618,-0.2198,-0.7989
18.790,0.5454,0.4824,-0.1763,-0.7560
18.800,0.5115,0.5175,-0.2044,-0.7530
18.810,0.4770,0.5419,-0.2073,-0.7131
18.820,0.4594,0.5781,-0.1975,-0.6808
18.830,0.4164,0.6485,-0.1935,-0.6518
18.840,0.3861,0.6082,-0.2089,-0.6521
18.850,0.3404,0.6128,-0.1800,-0.5863
18.860,0.2965,0.5975,-0.1900,-0.5365
18.870,0.2661,0.5055,-0.1824,-0.4823
18.880,0.2892,0.4640,-0.1719,-0.5073
18.890,0.1856,0.3827,-0.1776,-0.4007
18.900,0.1563,0.2766,-0.1810,-0.3837
18.910,0.1113,0.1894,-0.1848,-0.3649
18.920,0.1111,0.1413,-0.1374,-0.2950
18.930,0.0539,0.0568,-0.1250,-0.3289
18.940,0.0556,-0.0258,-0.1176,-0.2839
18.950,0.0573,-0.0109,-0.1154,-0.2546
18.960,0.0075,-0.0542,-0.1178,-0.2012
18.970,0.0549,-0.0287,-0.0506,-0.1999
18.980,0.0226,-0.0646,-0.1008,-0.1739
18.990,-0.0221,-0.0034,-0.0783,-0.1840
19.000,0.0347,0.0136,-0.0373,-0.1810
19.010,0.0107,0.0349,-0.0523,-0.1957
19.020,-0.0447,0.0406,-0.0063,-0.1826
19.030,-0.0408,0.0958,-0.0021,-0.1816
19.040,-0.0517,0.0694,0.0154,-0.2097
19.050,-0.0241,0.0745,0.0524,-0.2161
19.060,-0.0722,0.0210,0.0828,-0.2221
19.070,-0.0807,-0.0227,0.0459,-0.2753
19.080,-0.0765,-0.1009,0.0820,-0.2619
19.090,-0.1339,-0.1866,0.0954,-0.3114
19.100,-0.1596,-0.2806,0.1274,-0.3709
19.110,-0.1741,-0.3598,0.0723,-0.3805
19.120,-0.2443,-0.4466,0.1371,-0.4380
19.130,-0.2844,-0.5203,0.1228,-0.4605
19.140,-0.2879,-0.5662,0.1040,-0.4759
19.150,-0.3756,-0.6116,0.1588,-0.5461
19.160,-0.4019,-0.6315,0.1414,-0.5227
19.170,-0.4434,-0.6003,0.1548,-0.6090
19.180,-0.4812,-0.6078,0.1724,-0.6065
19.190,-0.4659,-0.5658,0.1289,-0.6327
19.200,-0.5185,-0.4783,0.1383,-0.6349
19.210,-0.5606,-0.4157,0.1758,-0.6538
19.220,-0.6060,-0.3719,0.1725,-0.7246
19.230,-0.6173,-0.3610,0.2099,-0.7036
19.240,-0.6379,-0.3675,0.2122,-0.6849
19.250,-0.6758,-0.3485,0.1845,-0.6808
19.260,-0.6890,-0.3849,0.1721,-0.7297
19.270,-0.7174,-0.4002,0.1935,-0.7034
19.280,-0.6910,-0.4723,0.1930,-0.6809
19.290,-0.7052,-0.5564,0.1961,-0.6416
19.300,-0.7036,-0.5493,0.1912,-0.5994
19.310,-0.6976,-0.6719,0.1704,-0.5989
19.320,-0.7071,-0.6936,0.1477,-0.5633
19.330,-0.6923,-0.7901,0.1565,-0.5182
19.340,-0.6874,-0.7804,0.1304,-0.5089
19.350,-0.6944,-0.8269,0.1378,-0.4837
19.360,-0.6846,-0.8168,0.1032,-0.4055
19.370,-0.6686,-0.7387,0.1102,-0.4084
19.380,-0.6493,-0.6945,0.0943,-0.3238
19.390,-0.7182,-0.5916,0.0746,-0.2795
19.400,-0.6726,-0.5588,0.0951,-0.2736
19.410,-0.6632,-0.4821,0.0659,-0.1920
19.420,-0.6612,-0.3901,0.0302,-0.1772
19.430,-0.6772,-0.3172,0.0380,-0.1409
19.440,-0.6911,-0.2775,0.0242,-0.0868
19.450,-0.7173,-0.2495,-0.0062,-0.0741
19.460,-0.7137,-0.2846,-0.0179,-0.0455
19.470,-0.7395,-0.2492,-0.0731,-0.0633
19.480,-0.7417,-0.2735,-0.0013,-0.0157
19.490,-0.7569,-0.2769,-0.0993,-0.0345
19.500,-0.8100,-0.3879,-0.0363,0.0008
19.510,-0.8323,-0.3720,-0.0662,-0.0028
19.520,-0.8216,-0.4455,-0.1054,0.0305
19.530,-0.8669,-0.4551,-0.1123,-0.0107
19.540,-0.9131,-0.4777,-0.1111,0.0172
19.550,-0.8574,-0.4391,-0.1271,-0.0588
19.560,-0.8814,-0.3956,-0.1461,-0.0320
19.570,-0.8698,-0.3227,-0.0991,-0.0553
19.580,-0.9141,-0.2883,-0.1525,-0.1089
19.590,-0.8725,-0.1469,-0.1569,-0.1428
19.600,-0.8273,-0.0877,-0.1659,-0.1439
19.610,-0.8301,-0.0066,-0.1690,-0.1543
19.620,-0.7962,0.0776,-0.1743,-0.1805
19.630,-0.8032,0.1415,-0.1910,-0.2311
19.640,-0.7741,0.2277,-0.1753,-0.2803
19.650,-0.7337,0.2933,-0.1733,-0.2951
19.660,-0.6911,0.3015,-0.1595,-0.3754
19.670,-0.6816,0.2961,-0.1842,-0.3793
19.680,-0.6532,0.2584,-0.1730,-0.3734
19.690,-0.6239,0.2676,-0.1875,-0.4206
19.700,-0.5868,0.2049,-0.1534,-0.4302
19.710,-0.5486,0.1978,-0.2011,-0.4422
19.720,-0.5296,0.1137,-0.1618,-0.4551
19.730,-0.5360,0.1596,-0.1538,-0.5020
19.740,-0.4945,0.1240,-0.1511,-0.4734
19.750,-0.4871,0.1507,-0.1598,-0.4352
19.760,-0.4397,0.1845,-0.1428,-0.4439
19.770,-0.4349,0.2344,-0.1537,-0.4332
19.780,-0.4710,0.3004,-0.0616,-0.4349
19.790,-0.4336,0.3915,-0.1167,-0.4140
19.800,-0.4162,0.4599,-0.0708,-0.3764
19.810,-0.4191,0.5323,-0.0901,-0.3310
19.820,-0.3764,0.5945,-0.0864,-0.3048
19.830,-0.4126,0.6433,-0.0770,-0.3039
19.840,-0.3993,0.7007,-0.0013,-0.2197
19.850,-0.4145,0.7172,-0.0329,-0.2136
19.860,-0.3904,0.7640,-0.0165,-0.1576
19.870,-0.4209,0.6952,0.0053,-0.1028
19.880,-0.3678,0.6617,0.0346,-0.0663
19.890,-0.3955,0.6206,0.0178,-0.0142
19.900,-0.3756,0.6052,0.0436,0.0470
19.910,-0.2937,0.5253,0.0443,0.0828
19.920,-0.3335,0.5009,0.0685,0.1020
19.930,-0.2941,0.4112,0.0758,0.1565
19.940,-0.2408,0.3637,0.0800,0.1913
19.950,-0.1693,0.3963,0.1127,0.2114
19.960,-0.1768,0.3838,0.0974,0.2109
19.970,-0.1196,0.4485,0.1220,0.2474
19.980,-0.0669,0.5149,0.1001,0.2892
19.990,-0.0411,0.5260,0.1574,0.3221
